modelo,tipo,ticker,experimento,lookback,test_f1_macro,test_f1_buy,test_f1_sell,test_f1_hold,test_f1_buy_sell_avg,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LSTM,por_ticker,TSLA,C,60.0,0.1423,0.4268,0.0,0.0,0.2134,100.0,0.0,0.0,0.6927,0.0,1.1823,-0.2155,0.5372,1.2284
LSTM,por_ticker,AMZN,C,60.0,0.3075,0.4278,0.3146,0.18,0.3712,71.3,10.6,18.1,0.6292,0.4191,1.9436,-0.1464,0.5476,1.4655
LSTM,por_ticker,MSFT,C,60.0,0.3446,0.2857,0.2698,0.4783,0.2778,30.9,29.3,39.9,-0.0536,-0.336,-0.337,-0.1894,0.391,0.9251
LSTM,por_ticker,GOOGL,C,60.0,0.4083,0.4505,0.3065,0.4681,0.3785,28.2,31.4,40.4,0.1269,-0.8767,0.5841,-0.246,0.5116,1.1278
LSTM,por_ticker,META,C,60.0,0.3365,0.3232,0.3893,0.2969,0.3562,26.1,26.1,47.9,0.7994,0.6603,2.2196,-0.1209,0.5468,1.7114
LSTM,global,GLOBAL,C,60.0,0.3436,0.3833,0.233,0.4147,0.3081,43.5,33.1,23.3,2.7394,-8.7925,0.7155,-0.5295,0.5125,1.1816
CNN,por_ticker,AAPL,C,60.0,0.3128,0.2951,0.0,0.6434,0.1475,8.5,90.4,1.1,0.2895,0.0618,1.6377,-0.0462,0.6667,3.0427
CNN,por_ticker,NVDA,C,60.0,0.1256,0.0,0.3571,0.0196,0.1786,0.0,2.7,97.3,-0.386,-1.0889,-1.5648,-0.5238,0.4536,0.7501
CNN,por_ticker,TSLA,C,60.0,0.219,0.0,0.0,0.6571,0.0,0.0,100.0,0.0,0.0,-0.6927,0.0,0.0,0.0,
CNN,por_ticker,AMZN,C,60.0,0.199,0.0,0.0,0.597,0.0,0.0,100.0,0.0,0.0,-0.21,0.0,0.0,0.0,
CNN,por_ticker,MSFT,C,60.0,0.2099,0.0,0.0615,0.5681,0.0308,0.0,92.6,7.4,-0.0018,-0.2841,-0.0757,-0.0208,0.4286,0.9505
CNN,por_ticker,GOOGL,C,60.0,0.2138,0.0323,0.0,0.609,0.0161,2.1,97.9,0.0,0.0412,-0.9625,0.4633,-0.0371,0.25,1.7746
CNN,por_ticker,META,C,60.0,0.3386,0.2903,0.406,0.3193,0.3482,39.4,21.3,39.4,0.0471,-0.0919,0.164,-0.2927,0.4797,1.0377
CNN,global,GLOBAL,C,60.0,0.3235,0.3607,0.2578,0.352,0.3092,42.9,30.3,26.7,2.2737,-9.2582,0.6545,-0.3946,0.5136,1.1661
CNN-LSTM,por_ticker,AAPL,C,60.0,0.3241,0.4028,0.2909,0.2787,0.3468,52.7,18.1,29.3,0.1252,-0.1025,0.4944,-0.2299,0.539,1.124
CNN-LSTM,por_ticker,NVDA,C,60.0,0.1194,0.0,0.3581,0.0,0.179,0.0,0.0,100.0,-0.4128,-1.1157,-1.6923,-0.5445,0.4521,0.7374
CNN-LSTM,por_ticker,TSLA,C,60.0,0.3436,0.4085,0.1194,0.503,0.2639,48.4,39.9,11.7,0.0566,-0.6361,0.1435,-0.2479,0.4867,1.0328
CNN-LSTM,por_ticker,AMZN,C,60.0,0.1509,0.0,0.4527,0.0,0.2263,0.0,0.0,100.0,-0.1736,-0.3836,-0.7123,-0.3413,0.4521,0.8748
CNN-LSTM,por_ticker,MSFT,C,60.0,0.1423,0.0,0.4268,0.0,0.2134,0.0,0.0,100.0,-0.2202,-0.5025,-1.4282,-0.3482,0.4468,0.7561
CNN-LSTM,por_ticker,GOOGL,C,60.0,0.3456,0.416,0.0,0.6207,0.208,35.6,64.4,0.0,0.1653,-0.8384,0.9321,-0.0786,0.5075,1.3072
CNN-LSTM,por_ticker,META,C,60.0,0.3372,0.3448,0.4,0.2667,0.3724,35.1,13.8,51.1,0.1002,-0.0388,0.3344,-0.2248,0.5062,1.0739
CNN-LSTM,global,GLOBAL,C,60.0,0.3397,0.343,0.3482,0.3278,0.3456,30.2,23.4,46.4,4.4854,-7.0465,0.8991,-0.5541,0.5,1.2194
