modelo,dataset,exp,tipo,ticker,n_eval,sharpe_5bp,retorno_5bp,turnover_medio,sharpe_10bp,retorno_10bp,test_f1_ens,test_f1_mean,test_f1_std,val_f1_ens,test_f1_buy,test_f1_hold,test_f1_sell,sharpe,win_rate,profit_factor,max_dd,signal_buy,signal_hold,signal_sell
LR,v1,C,por_ticker,MSFT,248,-1.2127,-0.2073,0.2903,-1.3998,-0.2353,0.3414,0.3414,0.0,0.2874,0.3439,0.547,0.1333,-1.0248,0.4706,0.7594,-0.2539,35.9,52.0,12.1
LR,v1,C,por_ticker,GOOGL,248,0.8211,0.1885,0.1613,0.7267,0.165,0.3577,0.3577,0.0,0.3243,0.3472,0.5865,0.1395,0.9151,0.525,1.3022,-0.1927,26.6,67.7,5.6
LR,v1,C,por_ticker,META,248,0.7945,0.3069,0.3629,0.6608,0.2494,0.4,0.4,0.0,0.3308,0.3088,0.5096,0.3816,0.928,0.4926,1.2583,-0.1925,25.8,45.2,29.0
XGBoost,v1,C,global,GLOBAL,1736,0.384,1.6751,0.6924,0.1493,0.4666,0.3617,0.3598,0.007,0.3548,0.3362,0.3895,0.3595,0.619,0.4913,1.1529,-0.5344,26.2,30.6,43.2
XGBoost,v1,C,por_ticker,AAPL,248,0.7747,0.2348,0.504,0.5453,0.16,0.3405,0.3195,0.0037,0.367,0.3026,0.4112,0.3077,1.0037,0.5704,1.3159,-0.1693,35.5,42.7,21.8
XGBoost,v1,C,por_ticker,NVDA,248,0.5834,0.2699,0.6169,0.3967,0.1763,0.3395,0.3366,0.0068,0.3383,0.2857,0.3958,0.3371,0.77,0.52,1.1739,-0.5532,23.4,29.4,47.2
XGBoost,v1,C,por_ticker,TSLA,248,-0.9464,-0.3801,0.625,-1.0978,-0.4263,0.3535,0.358,0.0163,0.3433,0.3841,0.4066,0.2699,-0.7942,0.4885,0.8546,-0.4257,33.1,29.8,37.1
XGBoost,v1,C,por_ticker,AMZN,248,0.7188,0.2231,0.6774,0.418,0.1245,0.374,0.3849,0.0161,0.3533,0.3803,0.4064,0.3353,1.0206,0.5283,1.2526,-0.2084,28.2,35.9,35.9
XGBoost,v1,C,por_ticker,MSFT,248,-0.5167,-0.1083,0.625,-0.8638,-0.1748,0.3742,0.3774,0.0164,0.3107,0.3307,0.4262,0.3656,-0.1676,0.4882,0.9625,-0.2701,23.8,31.5,44.8
XGBoost,v1,C,por_ticker,GOOGL,248,-0.0545,-0.0142,0.5121,-0.296,-0.0748,0.3474,0.3457,0.0165,0.384,0.3212,0.3936,0.3275,0.188,0.4937,1.0418,-0.2521,23.8,36.3,39.9
XGBoost,v1,C,por_ticker,META,248,-0.3704,-0.1175,0.5847,-0.5851,-0.1792,0.324,0.3267,0.009,0.3261,0.3425,0.381,0.2484,-0.1555,0.4,0.9628,-0.3403,29.8,37.5,32.7
LSTM,v1,C,global,GLOBAL,1736,-0.5755,-0.7753,0.0536,-0.5933,-0.7855,0.3166,0.311,0.0261,0.3279,0.1627,0.3858,0.4012,-0.5577,0.477,0.8844,-0.8332,10.0,27.4,62.6
LSTM,v1,C,por_ticker,AAPL,248,-1.1567,-0.2905,0.1008,-1.1989,-0.2993,0.3288,0.3119,0.0182,0.3194,0.3212,0.3205,0.3448,-1.1144,0.5,0.7789,-0.3471,29.4,19.4,51.2
LSTM,v1,C,por_ticker,NVDA,248,-0.2632,-0.1196,0.0121,-0.2663,-0.1209,0.1959,0.264,0.0952,0.2063,0.0,0.1752,0.4124,-0.2601,0.4826,0.9522,-0.4553,0.0,7.3,92.7
LSTM,v1,C,por_ticker,TSLA,248,0.4724,0.3247,0.0847,0.4547,0.3109,0.3424,0.3021,0.0482,0.3425,0.2241,0.3356,0.4675,0.4901,0.5266,1.0958,-0.3594,19.0,16.5,64.5
LSTM,v1,C,por_ticker,AMZN,248,0.1114,0.033,0.1048,0.0667,0.0196,0.3872,0.3421,0.0332,0.3889,0.2617,0.5,0.4,0.1559,0.4859,1.0369,-0.3126,14.1,42.7,43.1
LSTM,v1,C,por_ticker,MSFT,248,-1.9678,-0.311,0.1169,-2.0442,-0.3209,0.285,0.2845,0.0195,0.3588,0.1947,0.4762,0.1842,-1.891,0.3852,0.592,-0.3148,18.1,50.8,31.0
LSTM,v1,C,por_ticker,GOOGL,248,-1.6611,-0.3627,0.0444,-1.6808,-0.3662,0.3053,0.3071,0.0568,0.3898,0.2835,0.2721,0.3604,-1.6412,0.4623,0.7342,-0.377,19.8,19.8,60.5
LSTM,v1,C,por_ticker,META,248,-0.2988,-0.1052,0.0121,-0.3029,-0.1065,0.17,0.2269,0.0422,0.2071,0.0,0.0206,0.4893,-0.2948,0.4737,0.9462,-0.3875,0.0,0.4,99.6
