number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_filtros_base,params_focal_gamma,params_grad_clip,params_hidden,params_kernel,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
41,0.2713028092326317,2026-08-14 23:40:53.260401,2026-08-14 23:40:55.934941,0 days 00:00:02.674540,512,True,none,val_f1_ma3,0.3220469812296866,minmax,54,,5.0,119,7,0.11854678125960791,2,10,ce,0.00010808993799908711,last,none,5.571106281745816e-06,PRUNED
42,0.34965798912948587,2026-08-14 23:40:55.942989,2026-08-14 23:41:19.623335,0 days 00:00:23.680346,128,False,balanced,val_loss,0.4373147299005612,robust,93,0.6262601684884413,5.0,159,3,,1,10,focal,0.0006401144398078076,last,none,0.0030900422359649757,COMPLETE
43,0.3230918321932902,2026-08-14 23:41:19.632100,2026-08-14 23:41:45.133305,0 days 00:00:25.501205,128,True,none,val_loss,0.3379715124173508,robust,106,2.277391051150137,1.0,142,3,,1,10,focal,0.0009114153604910635,last,none,0.022696911023890768,COMPLETE
44,0.2670763883151485,2026-08-14 23:41:45.142959,2026-08-14 23:41:49.184796,0 days 00:00:04.041837,256,True,none,val_f1_ma3,0.4113673291078377,minmax,52,2.4743652034745294,5.0,142,7,,2,10,focal,8.476705357447816e-05,last,plateau,1.9836899333181603e-05,PRUNED
45,0.32580467836191174,2026-08-14 23:41:49.191223,2026-08-14 23:42:05.828358,0 days 00:00:16.637135,128,False,none,val_f1,0.49450311651159135,standard,113,1.8183113616124393,0.5,109,3,,1,60,focal,0.0018254594110738737,last,cosine,0.02086657933301146,PRUNED
46,0.3620507875878193,2026-08-14 23:42:05.835105,2026-08-14 23:42:32.197029,0 days 00:00:26.361924,128,False,balanced,val_loss,0.42249595653190186,robust,77,2.007025567677695,5.0,136,7,,1,20,focal,0.0004397620359576416,last,none,0.018214698953737334,COMPLETE
47,0.334448110141334,2026-08-14 23:42:32.206379,2026-08-14 23:42:55.077766,0 days 00:00:22.871387,128,False,balanced,val_loss,0.4089000155198803,robust,51,1.8338425683483668,5.0,171,3,,1,10,focal,0.0006245504033236193,attn,none,0.0020628783321167497,COMPLETE
48,0.32543117160638246,2026-08-14 23:42:55.085825,2026-08-14 23:43:17.986366,0 days 00:00:22.900541,128,False,sqrt,val_loss,0.5152290258576797,robust,76,0.6190812299627354,5.0,50,7,,1,20,focal,0.001553162693378519,last,none,0.00024032182437079395,COMPLETE
49,0.3541421131325889,2026-08-14 23:43:17.995036,2026-08-14 23:43:46.896187,0 days 00:00:28.901151,128,False,balanced,val_loss,0.24881857656012632,robust,122,2.9440451348185124,5.0,134,7,,2,20,focal,0.00016377735724675357,last,none,0.0016366470698885212,COMPLETE
50,0.3563382599459086,2026-08-14 23:43:46.904448,2026-08-14 23:44:08.366589,0 days 00:00:21.462141,128,False,balanced,val_loss,0.1461314001525303,robust,100,2.883648112414274,1.0,98,7,,2,20,focal,6.04070676302751e-05,last,none,0.017155567869205912,COMPLETE
51,0.3550954425544573,2026-08-14 23:44:08.374279,2026-08-14 23:44:27.233848,0 days 00:00:18.859569,128,False,balanced,val_loss,0.10501707640825121,robust,107,2.944634739411491,1.0,61,7,,2,20,focal,5.406758031188077e-05,last,none,0.05279672725978376,COMPLETE
52,0.3057652326033368,2026-08-14 23:44:27.241069,2026-08-14 23:45:27.339184,0 days 00:01:00.098115,128,False,balanced,val_f1_ma3,0.2686584018389721,robust,99,2.9847134689208867,5.0,223,7,,3,20,focal,0.000375190581370011,last,none,0.003338658253087485,COMPLETE
53,0.32856831172057516,2026-08-14 23:45:27.346026,2026-08-14 23:45:55.935254,0 days 00:00:28.589228,128,False,balanced,val_loss,0.1266681834735639,robust,98,2.9837055055373387,1.0,55,7,,2,20,focal,1.6045746208206404e-05,last,none,0.021289096948345562,COMPLETE
54,0.3554853745944923,2026-08-14 23:45:55.943330,2026-08-14 23:46:38.693730,0 days 00:00:42.750400,128,True,balanced,val_loss,0.34443961408391066,standard,116,2.9983841837448044,5.0,143,7,,2,20,focal,0.00011349568420783111,last,none,0.022923399647389632,COMPLETE
55,0.3605895416096324,2026-08-14 23:46:38.703484,2026-08-14 23:47:33.770937,0 days 00:00:55.067453,64,True,balanced,val_loss,0.33733277110425897,standard,91,2.957629791676606,0.5,226,7,,1,20,focal,0.00011519614907144799,last,none,0.0023717121592617373,COMPLETE
56,0.3463234899676817,2026-08-14 23:47:33.777914,2026-08-14 23:48:29.158936,0 days 00:00:55.381022,64,True,balanced,val_loss,0.12255833276916756,standard,114,2.946466234365094,0.5,251,7,,1,20,focal,0.00016622205658629562,last,none,0.000794200191777012,COMPLETE
57,0.34263874947670525,2026-08-14 23:48:29.165423,2026-08-14 23:50:28.222563,0 days 00:01:59.057140,128,True,balanced,val_loss,0.21812293852418518,minmax,80,2.9853482492285184,5.0,205,7,,2,60,focal,3.130611924073232e-05,last,none,0.015029416347516244,COMPLETE
58,0.3474962378747577,2026-08-14 23:50:28.229357,2026-08-14 23:50:50.996234,0 days 00:00:22.766877,128,False,balanced,val_loss,0.3676139524225844,robust,35,2.970846214223656,1.0,100,5,,1,20,focal,0.00022438224758456005,last,none,0.0075712306525549744,COMPLETE
59,0.3436459337016493,2026-08-14 23:50:51.003541,2026-08-14 23:51:10.077026,0 days 00:00:19.073485,256,False,sqrt,val_loss,0.03352539614116336,robust,100,2.992192299477641,1.0,133,7,,2,20,focal,0.00013958067243826424,meanmax,none,0.024454194219134716,COMPLETE
60,0.3394830108767803,2026-08-14 23:51:10.084960,2026-08-14 23:51:44.486825,0 days 00:00:34.401865,128,True,balanced,val_loss,0.5685810750258455,standard,78,2.985928466129326,5.0,56,7,,2,20,focal,0.00031840209782100067,last,none,0.012605066161145468,COMPLETE
61,0.346911051938518,2026-08-14 23:51:44.495657,2026-08-14 23:52:55.396804,0 days 00:01:10.901147,128,True,balanced,val_loss,0.29776914200415905,standard,104,,5.0,200,7,0.19984764358511545,3,20,ce,7.565964839068981e-05,meanmax,none,0.009473755825703017,COMPLETE
62,0.3389082295670254,2026-08-14 23:52:55.404858,2026-08-14 23:53:03.667046,0 days 00:00:08.262188,512,False,balanced,val_loss,0.0677039897163386,standard,103,2.9817986692341605,0.5,60,5,,2,20,focal,0.00012778964911040847,last,none,0.09792897608399817,COMPLETE
63,0.3452582403659346,2026-08-14 23:53:03.674735,2026-08-14 23:53:17.227335,0 days 00:00:13.552600,256,False,balanced,val_loss,0.29771150595665247,robust,112,2.7687545720981817,5.0,144,7,,1,20,focal,0.00044751071928949556,last,none,0.043925312171247,COMPLETE
64,0.34365613507256176,2026-08-14 23:53:17.233625,2026-08-14 23:53:39.735372,0 days 00:00:22.501747,512,True,balanced,val_loss,0.3911707942633155,standard,102,2.979677623892675,5.0,154,5,,2,20,focal,0.00012980777826224785,attn,none,0.007749942841795914,COMPLETE
65,0.3216606417826539,2026-08-14 23:53:39.764287,2026-08-14 23:55:00.976309,0 days 00:01:21.212022,64,False,balanced,val_loss,0.2034290235848326,robust,83,2.708219619122628,1.0,152,7,,3,40,focal,0.0004404046909276832,last,none,0.060039794941426645,COMPLETE
66,0.3429804670291844,2026-08-14 23:55:00.982233,2026-08-14 23:55:30.883359,0 days 00:00:29.901126,128,False,balanced,val_loss,0.4165367254280058,minmax,80,2.6931863403564873,0.5,198,7,,1,20,focal,8.60706091995949e-05,last,none,0.0004526951720571942,COMPLETE
67,0.3414854350099207,2026-08-14 23:55:30.890334,2026-08-14 23:55:56.435124,0 days 00:00:25.544790,128,True,balanced,val_loss,0.19777795198648107,robust,75,2.992959774340925,1.0,110,7,,2,10,focal,0.00013408753282219873,attn,none,0.08689674147124368,COMPLETE
68,0.32797371501911776,2026-08-14 23:55:56.442826,2026-08-14 23:56:15.662832,0 days 00:00:19.220006,128,False,balanced,val_loss,0.522150680838666,robust,48,2.669624652102082,5.0,102,7,,1,20,focal,0.001433649352047321,meanmax,none,0.019543951749105427,COMPLETE
69,0.34687310619463496,2026-08-14 23:56:15.669859,2026-08-14 23:56:41.197666,0 days 00:00:25.527807,128,False,balanced,val_loss,0.2944496187814591,standard,87,2.996347861680973,5.0,97,7,,2,20,focal,7.721530038622205e-05,last,plateau,0.010736397056308048,COMPLETE
70,0.3566035366247542,2026-08-14 23:56:41.204987,2026-08-14 23:57:50.267429,0 days 00:01:09.062442,64,True,balanced,val_loss,0.5282668050525283,standard,103,2.6261312003201494,0.5,247,7,,1,20,focal,0.0004250082506825677,meanmax,none,0.00306354494981485,COMPLETE
71,0.33683890042122544,2026-08-14 23:57:50.274698,2026-08-14 23:59:03.865584,0 days 00:01:13.590886,64,True,sqrt,val_loss,0.4728927409826308,standard,99,2.576270815644836,0.5,230,7,,1,20,focal,0.0003628426535786819,meanmax,none,0.002093359370486771,COMPLETE
72,0.3474873818744185,2026-08-14 23:59:03.872731,2026-08-14 23:59:40.364267,0 days 00:00:36.491536,64,True,balanced,val_loss,0.4386959844656393,standard,62,2.621927438764737,0.5,75,3,,1,20,focal,0.00023690186976729272,last,none,0.057285814284762905,COMPLETE
73,0.3374596898433907,2026-08-14 23:59:40.370375,2026-08-15 00:00:09.068291,0 days 00:00:28.697916,128,False,balanced,val_loss,0.41774723650532763,robust,99,,5.0,95,7,0.07969063198588118,2,20,ce,3.898469366777499e-05,last,none,9.688422850651943e-05,COMPLETE
74,0.32891828014100544,2026-08-15 00:00:09.074693,2026-08-15 00:01:19.490579,0 days 00:01:10.415886,64,False,balanced,val_f1_ma3,0.2949303976485364,standard,100,2.6213044685545084,0.5,148,7,,1,20,focal,6.399845220482432e-05,last,cosine,0.010949679179717219,COMPLETE
75,0.33826383829792905,2026-08-15 00:01:19.497712,2026-08-15 00:01:57.161687,0 days 00:00:37.663975,64,False,balanced,val_loss,0.4506172411809529,standard,87,1.4641454325696892,1.0,161,7,,1,10,focal,0.00034152110634622015,meanmax,none,0.00024720344590975295,COMPLETE
76,0.31335214331238936,2026-08-15 00:01:57.168255,2026-08-15 00:02:21.091522,0 days 00:00:23.923267,128,False,balanced,val_loss,0.5918700246962277,minmax,125,2.623693391780418,0.5,209,3,,2,10,focal,0.0001502469575715914,last,cosine,0.01521161773612816,COMPLETE
77,0.35614009397520885,2026-08-15 00:02:21.098430,2026-08-15 00:03:14.883928,0 days 00:00:53.785498,64,True,balanced,val_loss,0.5612518156613523,minmax,91,,0.5,228,7,0.1297533741820603,1,10,ce,0.0006995673207825176,meanmax,none,0.0018136694459705471,COMPLETE
78,0.3187029621401952,2026-08-15 00:03:14.890862,2026-08-15 00:03:39.099553,0 days 00:00:24.208691,256,True,balanced,val_loss,0.47947700212815725,minmax,77,,0.5,226,7,0.1337564664509287,2,20,ce,0.0007539898293521184,meanmax,none,0.000559725903556965,COMPLETE
79,0.2979078410979366,2026-08-15 00:03:39.106837,2026-08-15 00:05:09.822249,0 days 00:01:30.715412,64,True,balanced,val_f1,0.5924182827472253,standard,90,2.509824225063377,0.5,171,5,,1,20,focal,0.0005930781475737317,meanmax,none,0.00010272192753689411,COMPLETE
