number,value,datetime_start,datetime_complete,duration,params_batch,params_batchnorm,params_class_weight,params_criterio,params_dilatacion,params_dropout,params_escalador,params_fc_dim,params_filtros_base,params_focal_gamma,params_grad_clip,params_kernel,params_label_smooth,params_lookback,params_loss,params_lr,params_n_bloques,params_pool_cnn,params_scheduler,params_weight_decay,state
61,0.3145127684719771,2026-08-14 22:56:28.139712,2026-08-14 22:56:29.972014,0 days 00:00:01.832302,512,False,balanced,val_f1,2,0.0761611856558975,robust,59,22,,0.5,3,0.07845070813910325,10,ce,2.6464455965725584e-05,3,flatten,plateau,0.007227291173346355,PRUNED
62,0.33299373617299866,2026-08-14 22:56:29.979003,2026-08-14 22:56:38.774435,0 days 00:00:08.795432,512,True,balanced,val_f1,2,0.08834552777332975,standard,92,115,2.57541892652302,1.0,7,,10,focal,0.0016423326470932451,1,gap_gmp,plateau,0.0026169975300922885,COMPLETE
63,0.3622246621231203,2026-08-14 22:56:38.781735,2026-08-14 22:57:01.418592,0 days 00:00:22.636857,128,False,balanced,val_f1_ma3,2,0.1601964773392689,robust,218,25,2.554369762180163,5.0,3,,10,focal,3.5484411826024625e-05,4,gap,plateau,0.01837567946702053,COMPLETE
64,0.216737369841882,2026-08-14 22:57:01.426545,2026-08-14 22:57:06.446363,0 days 00:00:05.019818,128,False,none,val_f1_ma3,2,0.26975639772490057,robust,255,20,2.3362900705548006,5.0,3,,60,focal,1.2625585884680572e-05,3,gap,plateau,0.007627058449308955,PRUNED
65,0.2343805439087585,2026-08-14 22:57:06.454835,2026-08-14 22:57:08.275288,0 days 00:00:01.820453,512,False,balanced,val_f1_ma3,2,0.09949097168536866,robust,199,26,2.3726930992697137,5.0,3,,10,focal,2.648643454241354e-05,3,gap,cosine,0.006756317802324476,PRUNED
66,0.2784746206818805,2026-08-14 22:57:08.282441,2026-08-14 22:57:12.597845,0 days 00:00:04.315404,128,False,sqrt,val_f1,2,0.05634582116403548,robust,92,24,2.4495462525115697,5.0,7,,10,focal,6.03722536124245e-05,4,gap,plateau,0.04717016485645919,PRUNED
67,0.3011698470116985,2026-08-14 22:57:12.604229,2026-08-14 22:57:18.573691,0 days 00:00:05.969462,64,True,none,val_f1,1,0.18814449404892797,robust,168,36,2.422033005623089,0.5,3,,10,focal,0.0018576019303208839,1,gap_gmp,cosine,0.0011138507771580187,PRUNED
68,0.3402963787282762,2026-08-14 22:57:18.580313,2026-08-14 22:57:42.236317,0 days 00:00:23.656004,128,False,balanced,val_loss,2,0.10991239494273605,robust,112,56,2.219468418687897,1.0,3,,10,focal,5.7701381129232065e-05,4,gap,plateau,0.016546639468926087,COMPLETE
69,0.3057971447802669,2026-08-14 22:57:42.276861,2026-08-14 22:58:01.700069,0 days 00:00:19.423208,128,False,sqrt,val_loss,1,0.08654287912280989,standard,86,23,2.547925094930328,0.5,7,,60,focal,2.1002655476318053e-05,2,flatten,none,0.006400884455227795,COMPLETE
70,0.3531191591633845,2026-08-14 22:58:01.731454,2026-08-14 22:58:29.619459,0 days 00:00:27.888005,128,False,balanced,val_f1,2,0.18010691301747428,robust,180,31,2.1624019371178074,5.0,3,,10,focal,3.903861552108349e-05,4,gap_gmp,plateau,0.009183363265489741,COMPLETE
71,0.2702545182232097,2026-08-14 22:58:29.641950,2026-08-14 22:58:32.718252,0 days 00:00:03.076302,128,False,none,val_loss,1,0.15626282730664093,robust,105,23,2.1326508131237216,0.5,7,,10,focal,4.9247842719317334e-05,1,flatten,none,0.018649856685578264,PRUNED
72,0.34807345377189625,2026-08-14 22:58:32.724338,2026-08-14 22:58:54.203293,0 days 00:00:21.478955,128,True,balanced,val_f1_ma3,2,0.18580055249317917,robust,181,22,2.097772495954931,0.5,3,,10,focal,4.302196959941296e-05,4,gap,none,0.08896365999531333,COMPLETE
73,0.3278037235183362,2026-08-14 22:58:54.225334,2026-08-14 22:59:21.127867,0 days 00:00:26.902533,128,False,balanced,val_f1,2,0.03040039085534188,robust,241,20,1.9712073418066904,5.0,3,,10,focal,1.3740572780796245e-05,4,gap,plateau,0.0369450308059051,COMPLETE
74,0.29389568961123747,2026-08-14 22:59:21.135787,2026-08-14 22:59:26.076662,0 days 00:00:04.940875,128,True,balanced,val_f1_ma3,2,0.1943656709132172,standard,174,21,1.9748731004631435,0.5,3,,10,focal,2.0349985549904542e-05,4,gap,plateau,0.07419109383337455,PRUNED
75,0.33065222917835646,2026-08-14 22:59:26.083324,2026-08-14 22:59:47.463493,0 days 00:00:21.380169,128,True,balanced,val_f1,2,0.25355843900398334,robust,132,17,2.0895270722462023,5.0,3,,10,focal,0.00011063816480352552,4,gap_gmp,plateau,0.003866801587854847,COMPLETE
76,0.2732532229068143,2026-08-14 22:59:47.470876,2026-08-14 23:00:07.147853,0 days 00:00:19.676977,128,True,sqrt,val_f1_ma3,2,0.18267879262931655,robust,169,18,2.1589547940803544,0.5,3,,60,focal,0.00010170308402926869,4,gap,none,0.0023044761094502737,COMPLETE
77,0.2835436407348013,2026-08-14 23:00:07.154771,2026-08-14 23:01:07.292789,0 days 00:01:00.138018,64,True,balanced,val_f1_ma3,2,0.08558238964493309,robust,249,52,2.2264377329435074,0.5,3,,20,focal,0.00022119203710657301,3,gap,none,0.036366781817400294,COMPLETE
78,0.25918155013523425,2026-08-14 23:01:07.301532,2026-08-14 23:01:18.000660,0 days 00:00:10.699128,256,False,balanced,val_loss,1,0.09506320988274286,robust,208,29,2.5261521030043386,0.5,7,,10,focal,2.1234595011938555e-05,2,flatten,plateau,0.07134179391267562,COMPLETE
79,0.3347713685327953,2026-08-14 23:01:18.008103,2026-08-14 23:01:40.139742,0 days 00:00:22.131639,128,False,balanced,val_f1_ma3,1,0.13763953666650156,robust,148,68,2.1693410063612473,5.0,7,,10,focal,4.360404581398901e-05,3,gap,cosine,0.06558668088367843,COMPLETE
