number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_escalador,params_l1_ratio,params_penalty,state
82,0.33402466594061453,2026-08-15 00:16:57.905300,2026-08-15 00:16:58.345650,0 days 00:00:00.440350,0.00011713950956205588,balanced,robust,,l2,COMPLETE
83,0.33363975946132957,2026-08-15 00:16:58.352969,2026-08-15 00:16:58.792765,0 days 00:00:00.439796,0.00012417314118577842,balanced,robust,,l2,COMPLETE
84,0.18881213598808075,2026-08-15 00:16:58.799604,2026-08-15 00:16:58.956228,0 days 00:00:00.156624,0.00010283215896812727,balanced,robust,,l1,COMPLETE
85,0.3368334170084717,2026-08-15 00:16:58.961984,2026-08-15 00:16:59.405628,0 days 00:00:00.443644,0.00010600764636539372,balanced,robust,,l2,COMPLETE
86,0.3329866689490886,2026-08-15 00:16:59.411874,2026-08-15 00:16:59.858103,0 days 00:00:00.446229,0.0021563023845923043,balanced,robust,,l2,COMPLETE
87,0.3360591892009533,2026-08-15 00:16:59.864323,2026-08-15 00:17:00.317909,0 days 00:00:00.453586,0.00011131099941095531,balanced,robust,,l2,COMPLETE
88,0.33210321352062416,2026-08-15 00:17:00.325013,2026-08-15 00:17:00.722072,0 days 00:00:00.397059,0.00018342646972886137,balanced,standard,,l2,COMPLETE
89,0.3099454254256265,2026-08-15 00:17:00.729505,2026-08-15 00:17:01.068058,0 days 00:00:00.338553,0.0011296982178383766,balanced,robust,0.31895351078905515,elasticnet,COMPLETE
90,0.2785461120886606,2026-08-15 00:17:01.075988,2026-08-15 00:17:01.511732,0 days 00:00:00.435744,0.00011777351680510572,none,robust,,l2,COMPLETE
91,0.33526094890615843,2026-08-15 00:17:01.519455,2026-08-15 00:17:01.956522,0 days 00:00:00.437067,0.00021015819810718805,balanced,robust,,l2,COMPLETE
92,0.33921182581136894,2026-08-15 00:17:01.963343,2026-08-15 00:17:02.403293,0 days 00:00:00.439950,0.00017234397807822595,balanced,robust,,l2,COMPLETE
93,0.3364666663485747,2026-08-15 00:17:02.409933,2026-08-15 00:17:02.861051,0 days 00:00:00.451118,0.00010635407503410735,balanced,robust,,l2,COMPLETE
94,0.30560896042748276,2026-08-15 00:17:02.868494,2026-08-15 00:17:03.337307,0 days 00:00:00.468813,0.2126720501169415,balanced,robust,,l2,COMPLETE
95,0.3200210751733236,2026-08-15 00:17:03.344141,2026-08-15 00:17:07.295405,0 days 00:00:03.951264,795.6391842568064,balanced,standard,0.997591630991713,elasticnet,COMPLETE
96,0.15558452846588441,2026-08-15 00:17:07.301605,2026-08-15 00:17:07.423302,0 days 00:00:00.121697,0.0005637997752757339,balanced,standard,,l1,COMPLETE
97,0.33231786918738576,2026-08-15 00:17:07.428949,2026-08-15 00:17:07.880264,0 days 00:00:00.451315,0.0020837711218349595,balanced,robust,,l2,COMPLETE
98,0.33236327019863604,2026-08-15 00:17:07.887744,2026-08-15 00:17:08.339697,0 days 00:00:00.451953,0.001124895945880078,balanced,robust,,l2,COMPLETE
99,0.33363975946132957,2026-08-15 00:17:08.346035,2026-08-15 00:17:08.782625,0 days 00:00:00.436590,0.00012227866910442432,balanced,robust,,l2,COMPLETE
100,0.3146721835094114,2026-08-15 00:17:08.789486,2026-08-15 00:17:09.217545,0 days 00:00:00.428059,0.0042305684176955835,balanced,robust,,l1,COMPLETE
101,0.3357297036933466,2026-08-15 00:17:09.225846,2026-08-15 00:17:09.673987,0 days 00:00:00.448141,0.00014188684056178752,balanced,robust,,l2,COMPLETE
102,0.33402635347698073,2026-08-15 00:17:09.681080,2026-08-15 00:17:10.126104,0 days 00:00:00.445024,0.00011546798797835584,balanced,robust,,l2,COMPLETE
103,0.3330290048656035,2026-08-15 00:17:10.133826,2026-08-15 00:17:10.584693,0 days 00:00:00.450867,0.0011925002681093294,balanced,robust,,l2,COMPLETE
104,0.3364720954746719,2026-08-15 00:17:10.591870,2026-08-15 00:17:11.029810,0 days 00:00:00.437940,0.00010678070133773385,balanced,robust,,l2,COMPLETE
105,0.33402635347698073,2026-08-15 00:17:11.037246,2026-08-15 00:17:11.477045,0 days 00:00:00.439799,0.00011961080008914302,balanced,robust,,l2,COMPLETE
106,0.33291306163480344,2026-08-15 00:17:11.485081,2026-08-15 00:17:11.920852,0 days 00:00:00.435771,0.0018943794223701532,balanced,robust,,l2,COMPLETE
107,0.32432326118963234,2026-08-15 00:17:11.927613,2026-08-15 00:17:15.195968,0 days 00:00:03.268355,0.40536755792124674,none,standard,0.6727347112066642,elasticnet,COMPLETE
108,0.18881213598808075,2026-08-15 00:17:15.203132,2026-08-15 00:17:15.357125,0 days 00:00:00.153993,0.0001104782473106311,balanced,robust,0.39545189678297765,elasticnet,COMPLETE
109,0.33462922916772914,2026-08-15 00:17:15.363137,2026-08-15 00:17:15.802682,0 days 00:00:00.439545,0.00010053027265396969,balanced,robust,,l2,COMPLETE
110,0.3327271018520185,2026-08-15 00:17:15.809326,2026-08-15 00:17:16.259133,0 days 00:00:00.449807,0.0015440019235207424,balanced,robust,,l2,COMPLETE
111,0.33402466594061453,2026-08-15 00:17:16.266461,2026-08-15 00:17:16.710304,0 days 00:00:00.443843,0.00011574923126882568,balanced,robust,,l2,COMPLETE
112,0.3357297036933466,2026-08-15 00:17:16.716483,2026-08-15 00:17:17.152689,0 days 00:00:00.436206,0.00014190366340348379,balanced,robust,,l2,COMPLETE
113,0.33363975946132957,2026-08-15 00:17:17.159301,2026-08-15 00:17:17.605976,0 days 00:00:00.446675,0.00012311128074082462,balanced,robust,,l2,COMPLETE
114,0.3368334170084717,2026-08-15 00:17:17.612666,2026-08-15 00:17:18.048148,0 days 00:00:00.435482,0.00010524793944954136,balanced,robust,,l2,COMPLETE
115,0.33471284360524384,2026-08-15 00:17:18.054879,2026-08-15 00:17:18.500495,0 days 00:00:00.445616,0.0026331383456060266,balanced,robust,,l2,COMPLETE
116,0.3333462317493516,2026-08-15 00:17:18.506297,2026-08-15 00:17:18.915705,0 days 00:00:00.409408,0.003427149728378381,balanced,standard,,l2,COMPLETE
117,0.33363975946132957,2026-08-15 00:17:18.922712,2026-08-15 00:17:19.357753,0 days 00:00:00.435041,0.0001246010279660448,balanced,robust,,l2,COMPLETE
118,0.33200308750459256,2026-08-15 00:17:19.364414,2026-08-15 00:17:19.811172,0 days 00:00:00.446758,0.0015817367759942864,balanced,robust,,l2,COMPLETE
119,0.3233986016596912,2026-08-15 00:17:19.817562,2026-08-15 00:17:20.274552,0 days 00:00:00.456990,0.009753251624188936,none,robust,,l2,COMPLETE
120,0.3368167752049753,2026-08-15 00:17:20.282059,2026-08-15 00:17:20.717424,0 days 00:00:00.435365,0.00011328485320303182,balanced,robust,,l2,COMPLETE
121,0.3348366576870827,2026-08-15 00:17:20.725322,2026-08-15 00:17:21.175424,0 days 00:00:00.450102,0.00011498467004242416,balanced,robust,,l2,COMPLETE
122,0.3352036722925618,2026-08-15 00:17:21.181266,2026-08-15 00:17:21.621614,0 days 00:00:00.440348,0.00011464540140946898,balanced,robust,,l2,COMPLETE
123,0.3335720717155802,2026-08-15 00:17:21.628766,2026-08-15 00:17:22.070207,0 days 00:00:00.441441,0.001161682104955904,balanced,robust,,l2,COMPLETE
124,0.33934635171121297,2026-08-15 00:17:22.076128,2026-08-15 00:17:22.517300,0 days 00:00:00.441172,0.00014693244125982063,balanced,robust,,l2,COMPLETE
125,0.3352036722925618,2026-08-15 00:17:22.523868,2026-08-15 00:17:22.964352,0 days 00:00:00.440484,0.00011490863602138113,balanced,robust,,l2,COMPLETE
126,0.3336711207862153,2026-08-15 00:17:22.971374,2026-08-15 00:17:23.425512,0 days 00:00:00.454138,0.0016291667028047274,balanced,robust,,l2,COMPLETE
127,0.31073505771598525,2026-08-15 00:17:23.432957,2026-08-15 00:17:30.240477,0 days 00:00:06.807520,48.32863365417852,balanced,robust,0.7855709119618257,elasticnet,COMPLETE
128,0.3335734420071769,2026-08-15 00:17:30.247216,2026-08-15 00:17:30.683651,0 days 00:00:00.436435,0.00012910960299908732,balanced,robust,,l2,COMPLETE
