number,value,datetime_start,datetime_complete,duration,params_batch,params_bidir,params_class_weight,params_criterio,params_dropout,params_escalador,params_focal_gamma,params_grad_clip,params_hidden,params_label_smooth,params_layers,params_lookback,params_loss,params_lr,params_pooling,params_scheduler,params_weight_decay,state
63,0.29840728855510246,2026-08-14 22:21:49.824735,2026-08-14 22:22:26.352649,0 days 00:00:36.527914,64,True,balanced,val_loss,0.47729615274045795,robust,1.5185177148159335,0.5,55,,1,60,focal,0.0005532448606691407,meanmax,cosine,0.001447147532451247,COMPLETE
64,0.33717613858731244,2026-08-14 22:22:26.361668,2026-08-14 22:22:55.761173,0 days 00:00:29.399505,64,True,balanced,val_loss,0.4221607649302354,standard,,0.5,43,0.055751339895235,1,10,ce,0.0008089962819269248,meanmax,none,0.013273703262805334,COMPLETE
65,0.3048392660706099,2026-08-14 22:22:55.769807,2026-08-14 22:23:03.635436,0 days 00:00:07.865629,64,False,none,val_loss,0.2774277684321719,robust,1.073340416189297,0.5,94,,3,40,focal,0.00029807547049258377,attn,plateau,0.0010956204863813528,PRUNED
66,0.31567265313214243,2026-08-14 22:23:03.641758,2026-08-14 22:23:22.280523,0 days 00:00:18.638765,128,False,balanced,val_f1,0.5310177476969588,robust,1.6377455906736154,0.5,51,,1,10,focal,0.0016370554366701476,meanmax,none,0.037981543487915874,COMPLETE
67,0.3649009372416414,2026-08-14 22:23:22.287949,2026-08-14 22:23:57.495250,0 days 00:00:35.207301,64,False,balanced,val_loss,0.43076719561956667,robust,1.4326011305186719,5.0,118,,2,10,focal,0.00015934275835801813,attn,plateau,0.0007777647470212787,COMPLETE
68,0.31436060778256364,2026-08-14 22:23:57.503376,2026-08-14 22:24:17.695314,0 days 00:00:20.191938,64,False,balanced,val_loss,0.4727196917502629,robust,,0.5,76,0.13604639825737655,3,10,ce,0.00023206234793017146,attn,cosine,0.0003414225516172076,PRUNED
69,0.25445601366725384,2026-08-14 22:24:17.702896,2026-08-14 22:24:19.658793,0 days 00:00:01.955897,512,False,none,val_loss,0.4279031888752224,robust,1.0394875803819523,5.0,151,,2,10,focal,0.0002901008423844347,attn,plateau,0.009527165719573558,PRUNED
70,0.2849092155256488,2026-08-14 22:24:19.665050,2026-08-14 22:24:51.261576,0 days 00:00:31.596526,64,False,balanced,val_f1,0.5016813703018421,robust,1.6803098507088217,5.0,77,,2,60,focal,0.00024670799430566117,attn,plateau,0.05105986032068624,COMPLETE
71,0.30172826541763254,2026-08-14 22:24:51.269528,2026-08-14 22:25:25.526157,0 days 00:00:34.256629,64,False,balanced,val_loss,0.5155241104245132,minmax,1.3883794826304394,0.5,16,,2,60,focal,0.0003593264873180915,attn,none,0.02732581772045962,PRUNED
72,0.31103049501701346,2026-08-14 22:25:25.533126,2026-08-14 22:26:17.920463,0 days 00:00:52.387337,64,False,balanced,val_loss,0.4538816915958085,robust,1.4072741910412523,5.0,147,,2,10,focal,1.602206408836324e-05,attn,plateau,3.590368649626325e-05,COMPLETE
73,0.3277310870787526,2026-08-14 22:26:17.926587,2026-08-14 22:26:27.052752,0 days 00:00:09.126165,256,True,balanced,val_loss,0.13294218920167555,robust,1.5792677577844365,1.0,25,,3,40,focal,4.737378121109068e-05,last,none,0.008638896607635211,PRUNED
74,0.3545306399049167,2026-08-14 22:26:27.059810,2026-08-14 22:27:04.333779,0 days 00:00:37.273969,64,False,balanced,val_loss,0.5808952600022732,robust,1.405508377703987,5.0,78,,1,10,focal,0.0010954973444029662,attn,plateau,0.0020050108096525423,COMPLETE
75,0.30011006766905257,2026-08-14 22:27:04.340552,2026-08-14 22:28:29.020644,0 days 00:01:24.680092,64,False,balanced,val_f1_ma3,0.4866433244524817,robust,1.1728631649403458,5.0,97,,1,10,focal,0.0010817318638088097,attn,plateau,0.0015701742709538164,COMPLETE
76,0.34261326741758447,2026-08-14 22:28:29.028877,2026-08-14 22:29:15.089598,0 days 00:00:46.060721,64,True,balanced,val_loss,0.32901255797791396,robust,1.845091428783365,5.0,82,,3,10,focal,0.0001921780259689454,attn,plateau,0.0011335562954346377,COMPLETE
77,0.28343355762298017,2026-08-14 22:29:15.096500,2026-08-14 22:29:17.175478,0 days 00:00:02.078978,512,False,balanced,val_loss,0.4693908767174194,robust,1.427944756421169,0.5,26,,1,40,focal,0.0002018692481002016,attn,cosine,0.004704519959290994,PRUNED
78,0.2592857500334391,2026-08-14 22:29:17.183396,2026-08-14 22:29:21.730984,0 days 00:00:04.547588,128,True,balanced,val_loss,0.2018222706320446,minmax,1.4217400051532243,1.0,64,,2,10,focal,5.027557931238707e-05,attn,plateau,0.002044056822383268,PRUNED
79,0.2985705684208694,2026-08-14 22:29:21.738070,2026-08-14 22:29:28.814948,0 days 00:00:07.076878,64,False,sqrt,val_loss,0.42723729712666497,robust,0.8088141785330616,0.5,90,,2,10,focal,0.00018890442482108195,attn,plateau,0.00024179495728135774,PRUNED
