config_id,modelo,tipo,ticker,experimento,n_features,C,l1_ratio,n_seeds,val_f1_macro,val_f1_buy,val_f1_sell,test_f1_macro,test_f1_buy,test_f1_hold,test_f1_sell,test_f1_buy_sell_avg,test_accuracy,test_signal_buy,test_signal_hold,test_signal_sell,cumul_return_test,return_vs_bh_test,sharpe_test,max_drawdown_test,win_rate_test,profit_factor_test
LR-03-l1-all,LogisticRegression,por_ticker,AMZN,A,61,1.0,,5,0.3592,0.4184,0.2955,0.3863,0.2578,0.5058,0.3953,0.3266,0.412,15.4,45.8,38.8,0.6809,0.13,0.9536,-0.1882,0.5461,1.2587
LR-03-l1-all,LogisticRegression,por_ticker,MSFT,A,61,0.01,,5,0.398,0.4185,0.2415,0.3475,0.3667,0.4678,0.2081,0.2874,0.374,44.2,41.6,14.2,0.2347,-0.0993,0.5673,-0.253,0.5274,1.1451
LR-03-l1-all,LogisticRegression,por_ticker,GOOGL,A,61,10.0,,5,0.3838,0.4237,0.2358,0.3236,0.1923,0.3946,0.3839,0.2881,0.348,10.6,34.6,54.8,-0.4359,-1.7245,-1.1469,-0.4876,0.4526,0.7837
LR-03-l1-all,LogisticRegression,por_ticker,META,A,61,0.01,,5,0.3655,0.3955,0.1325,0.3646,0.3569,0.5157,0.2212,0.2891,0.402,31.2,54.4,14.4,-0.0703,-1.0068,-0.1312,-0.2651,0.5044,0.9653
LR-03-l1-all,LogisticRegression,global,GLOBAL,A,61,1.0,,5,0.3779,0.3834,0.2462,0.3751,0.2766,0.4543,0.3943,0.3354,0.3891,19.0,36.8,44.3,11.7082,-84.3236,0.5172,-0.5534,0.5102,1.1289
LR-03-l1-all,LogisticRegression,por_ticker,AAPL,B,61,1.0,,5,0.3275,0.2602,0.3243,0.3884,0.2923,0.4902,0.3827,0.3375,0.4032,26.6,38.7,34.7,0.3885,0.2636,1.1262,-0.1909,0.5132,1.3265
LR-03-l1-all,LogisticRegression,por_ticker,NVDA,B,61,0.1,,5,0.3147,0.0851,0.419,0.4168,0.3103,0.5171,0.4229,0.3666,0.4355,19.4,34.7,46.0,1.1042,0.7479,1.6324,-0.265,0.5679,1.4388
LR-03-l1-all,LogisticRegression,por_ticker,TSLA,B,61,1.0,,5,0.3528,0.303,0.4076,0.3682,0.2537,0.4294,0.4216,0.3377,0.379,26.2,27.8,46.0,0.1214,-0.0767,0.2009,-0.3939,0.5196,1.0414
LR-03-l1-all,LogisticRegression,por_ticker,AMZN,B,61,0.1,,5,0.3468,0.1961,0.3077,0.4354,0.3333,0.5073,0.4656,0.3995,0.4556,12.1,43.1,44.8,1.215,1.1591,2.6179,-0.1266,0.5674,1.8752
LR-03-l1-all,LogisticRegression,por_ticker,MSFT,B,61,0.1,,5,0.3889,0.3179,0.3284,0.3733,0.2946,0.5478,0.2774,0.286,0.4073,24.6,50.4,25.0,-0.0136,-0.1867,-0.0659,-0.2489,0.4715,0.9828
LR-03-l1-all,LogisticRegression,por_ticker,GOOGL,B,61,10.0,,5,0.3535,0.1333,0.439,0.3742,0.3231,0.4205,0.3789,0.351,0.379,21.0,31.5,47.6,-0.092,-0.7553,-0.3387,-0.4095,0.5176,0.9332
LR-03-l1-all,LogisticRegression,por_ticker,META,B,61,0.01,,5,0.2828,0.3543,0.0,0.3245,0.4318,0.5417,0.0,0.2159,0.4153,41.9,58.1,0.0,0.2404,0.1256,0.7411,-0.2903,0.5577,1.225
LR-03-l1-all,LogisticRegression,global,GLOBAL,B,61,10.0,,5,0.3579,0.2387,0.3869,0.382,0.2754,0.5127,0.3579,0.3167,0.4055,18.1,44.1,37.7,3.7999,0.6007,0.6282,-0.4704,0.4948,1.1714
LR-03-l1-all,LogisticRegression,por_ticker,AAPL,C,61,10.0,,5,0.3464,0.3822,0.3103,0.3527,0.2727,0.4541,0.3312,0.302,0.3669,27.4,39.9,32.7,0.2473,0.1224,0.7619,-0.1264,0.5101,1.2149
LR-03-l1-all,LogisticRegression,por_ticker,NVDA,C,61,0.1,,5,0.316,0.0899,0.4534,0.3817,0.2833,0.4385,0.4233,0.3533,0.3952,21.0,27.4,51.6,1.1188,0.7625,1.6151,-0.2058,0.5667,1.4079
LR-03-l1-all,LogisticRegression,por_ticker,TSLA,C,61,10.0,,5,0.3461,0.2479,0.3729,0.3694,0.2835,0.4333,0.3915,0.3375,0.379,23.4,29.0,47.6,0.2449,0.0467,0.3864,-0.381,0.4886,1.0818
LR-03-l1-all,LogisticRegression,por_ticker,AMZN,C,61,10.0,,5,0.351,0.1163,0.386,0.3823,0.2593,0.4541,0.4335,0.3464,0.4032,14.5,35.1,50.4,0.2795,0.2236,0.8481,-0.2065,0.5404,1.2065
LR-03-l1-all,LogisticRegression,por_ticker,MSFT,C,61,0.1,,5,0.3381,0.2571,0.2571,0.3679,0.2667,0.5551,0.2819,0.2743,0.4032,21.0,49.2,29.8,-0.0153,-0.1885,-0.0739,-0.3234,0.4206,0.9811
LR-03-l1-all,LogisticRegression,por_ticker,GOOGL,C,61,1.0,,5,0.3468,0.1395,0.4332,0.3664,0.3885,0.2963,0.4144,0.4015,0.375,24.6,14.9,60.5,0.2262,-0.4371,0.6565,-0.3565,0.5308,1.1292
LR-03-l1-all,LogisticRegression,por_ticker,META,C,61,10.0,,5,0.2692,0.0,0.4409,0.3322,0.1667,0.4142,0.4156,0.2911,0.3669,9.7,29.4,60.9,-0.0182,-0.1331,-0.0548,-0.2852,0.4743,0.988
LR-03-l1-all,LogisticRegression,global,GLOBAL,C,61,0.01,,5,0.3463,0.2839,0.294,0.4059,0.3501,0.5487,0.319,0.3345,0.432,25.7,49.0,25.3,9.3981,6.1989,0.9569,-0.3392,0.5158,1.2839
LR-02-elasticnet-all,LogisticRegression,por_ticker,AAPL,A,61,0.1,0.8,5,0.4064,0.3713,0.3004,0.363,0.2972,0.487,0.3049,0.301,0.38,21.6,42.6,35.8,0.3826,-0.1023,0.6623,-0.2,0.4774,1.1799
LR-02-elasticnet-all,LogisticRegression,por_ticker,NVDA,A,61,0.01,0.2,5,0.3834,0.3792,0.323,0.305,0.013,0.5504,0.3515,0.1823,0.402,0.4,62.2,37.4,-0.5274,-3.423,-0.9754,-0.5417,0.4444,0.7652
LR-02-elasticnet-all,LogisticRegression,por_ticker,TSLA,A,61,0.01,0.5,5,0.3771,0.3574,0.2805,0.3983,0.3311,0.5246,0.3394,0.3352,0.416,28.8,45.6,25.6,1.0873,0.258,0.6855,-0.3947,0.5625,1.1717
LR-02-elasticnet-all,LogisticRegression,por_ticker,AMZN,A,61,0.01,0.5,5,0.3716,0.4222,0.2026,0.3345,0.2415,0.5629,0.1991,0.2203,0.416,11.8,74.0,14.2,0.1959,-0.355,0.4176,-0.2097,0.5077,1.1541
LR-02-elasticnet-all,LogisticRegression,por_ticker,MSFT,A,61,0.01,0.8,5,0.3913,0.4236,0.2283,0.3496,0.3523,0.5034,0.1932,0.2728,0.386,42.6,46.0,11.4,0.1891,-0.1449,0.4704,-0.2776,0.5259,1.1233
LR-02-elasticnet-all,LogisticRegression,por_ticker,GOOGL,A,61,0.01,0.8,5,0.3846,0.4251,0.172,0.3716,0.3478,0.5411,0.2259,0.2869,0.408,28.8,53.0,18.2,-0.2108,-1.4994,-0.5141,-0.3588,0.4894,0.8798
LR-02-elasticnet-all,LogisticRegression,por_ticker,META,A,61,0.01,0.8,5,0.3631,0.4178,0.1404,0.3593,0.351,0.5076,0.2194,0.2852,0.392,32.2,51.2,16.6,-0.0565,-0.993,-0.0995,-0.3206,0.4754,0.974
LR-02-elasticnet-all,LogisticRegression,global,GLOBAL,A,61,0.01,0.2,5,0.3789,0.3785,0.2512,0.38,0.2824,0.4774,0.3801,0.3313,0.3951,20.0,39.6,40.4,4.8728,-91.1589,0.3607,-0.6928,0.5095,1.0903
LR-02-elasticnet-all,LogisticRegression,por_ticker,AAPL,B,61,0.1,0.2,5,0.3424,0.2202,0.3371,0.3949,0.2969,0.5073,0.3804,0.3386,0.4113,25.8,39.1,35.1,0.4932,0.3683,1.3751,-0.1679,0.5099,1.4106
LR-02-elasticnet-all,LogisticRegression,por_ticker,NVDA,B,61,0.01,0.2,5,0.3783,0.3226,0.3626,0.4305,0.2887,0.5702,0.4327,0.3607,0.4677,11.7,44.0,44.4,1.8705,1.5142,2.3714,-0.1949,0.5612,1.7699
LR-02-elasticnet-all,LogisticRegression,por_ticker,TSLA,B,61,0.1,0.2,5,0.3585,0.3359,0.3936,0.3658,0.224,0.4649,0.4086,0.3163,0.3831,22.6,31.0,46.4,-0.1977,-0.3958,-0.3887,-0.4301,0.5263,0.9229
LR-02-elasticnet-all,LogisticRegression,por_ticker,AMZN,B,61,0.1,0.5,5,0.3529,0.1616,0.3596,0.4297,0.297,0.5226,0.4694,0.3832,0.4556,11.7,40.7,47.6,0.7,0.6441,1.7075,-0.1304,0.5578,1.4823
LR-02-elasticnet-all,LogisticRegression,por_ticker,MSFT,B,61,0.1,0.8,5,0.3624,0.2759,0.3,0.3747,0.2645,0.5541,0.3056,0.285,0.4113,21.4,50.8,27.8,0.0162,-0.157,0.0774,-0.2525,0.459,1.0206
